"","Parcel_Num","Property_C","Property_S","Inventory_","Zoned_As","Address1","City","Neighborho","Longitude","Latitude","Council_Di","Area_Plann","Square_Foo","Business_I","Community_","Building_N","LA_County_","LA_County1","PIN","County_Ass","County_A_1","coords.x1","coords.x2","optional"
"676",5447027907,"vacant land","Owned","General Services",NA,"255 S AVENUE 17","LOS ANGELES",NA,-118.2232437,34.0697441,2,"None",48913.39195,"None",NA,NA,5447027907,NA,"136-5A219  26",NA,NA,-118.2232437,34.0697441,TRUE
"677",4422033901,"vacant land","New","General Services","OS-1XL","14749 W ORACLE PL","PACIFIC PALISADES","None",-118.5202048,34.05618393,4,"None",68753.42835,"None","Brentwood - Pacific Palisades",NA,4422033901,NA,"132B129   123","L A CITY S BY S",NA,-118.5202048,34.05618393,TRUE
"678",2401025900,"vacant land","Surplus-Undeclared","General Services","A2-1&K","8660 W LA TUNA CANYON RD","SUN VALLEY",NA,-118.32238,34.23687,14,"North Valley",1952.9805,NA,"Sunland-Tujunga-Lake Vw Ter-Shadow Hills-E La Tuna","Vacant Land",2401025900,NA,NA,NA,NA,-118.32238,34.23687,TRUE
"679",5447027908,"vacant land","Owned","RAP",NA,"1739 ALBION ST","LOS ANGELES",NA,-118.2225371,34.0691626,2,"None",154385.8437,"None",NA,"Future site of Albion Park",5447027908,NA,"136-5A219  59",NA,NA,-118.2225371,34.0691626,TRUE
"680",4128016900,"vacant land","Owned","Airports",NA,"5211 W 97TH PL","LOS ANGELES",NA,-118.3707962,33.9478455,4,"None",6465.240014,"None",NA,NA,4128016900,NA,NA,NA,NA,-118.3707962,33.9478455,TRUE
"681",4493021900,"vacant land","New","RAP",NA,"7050 N DE SOTO AVE","LOS ANGELES","None",-118.4879437,34.07582286,4,NA,104307.6241,NA,NA,NA,4493021900,NA,NA,"L A CITY",NA,-118.4879437,34.07582286,TRUE
"682",4128018916,"vacant land","Owned","Airports",NA,"9725 GLASGOW PL","LOS ANGELES",NA,-118.3719788,33.9478073,4,"None",7007.824433,"None",NA,NA,4128018916,NA,NA,NA,NA,-118.3719788,33.9478073,TRUE
"683",2401025901,"vacant land","Surplus-Undeclared","General Services","A2-1&K","8636 W LA TUNA CANYON RD","SUN VALLEY",NA,-118.32189,34.23642,14,"North Valley",1873.4859,NA,"Sunland-Tujunga-Lake Vw Ter-Shadow Hills-E La Tuna","Vacant Land",2401025901,NA,NA,NA,NA,-118.32189,34.23642,TRUE
"684",4128008935,"vacant land","Owned","Airports",NA,"5444 W 94TH ST","LOS ANGELES",NA,-118.3757477,33.9506569,4,"None",6537.791524,"None",NA,NA,4128008935,NA,NA,NA,NA,-118.3757477,33.9506569,TRUE
"685",2551013900,"vacant land","Surplus-Undeclared","General Services","RE40-1","11380 N ALETHEA DR 0","LOS ANGELES",NA,-118.3071475,34.2746521,14,NA,58729.62266,NA,"Sunland-Tujunga-Lake Vw Ter-Shadow Hills-E La Tuna","Vacant Land",2551013900,NA,NA,NA,NA,-118.3071475,34.2746521,TRUE
"686",4128008936,"vacant land","Owned","Airports",NA,"5322 W 94TH ST","LOS ANGELES",NA,-118.3734436,33.9505615,4,"None",5836.6055,"None",NA,NA,4128008936,NA,NA,NA,NA,-118.3734436,33.9505615,TRUE
